Input velocities or energy: 
Starting time t0, initial position (r0, phi0), initial specific energy and ang. momentum (E, L), and final t point t1: 
Read: t0 = 0 r0 = 10 phi0 = -0.75 E_ini = 0 L_ini = 1 sign of radial velocity = -1 t1 = 100
Calculated vr0 and vphi0: t0=0 r0=10 phi0=-0.75 vr0=-0.43589 vphi0=0.01 t1=100
Number of time steps n = 10001
Initial energy, angular momentum, and eccentricity are E_ini = -1.38778e-17, L_ini = 1, and eccen_ini = 1 
t 	 r 	 phi 	 vr 	 vphi 	 x(t) 	 y(t) 	 E(t) 	 L(t) 	 (E_ini - E(t)) / E_ini 	 (L_ini - L(t)) / L_ini 	 (eccen_ini - eccen_t) / eccen_ini 
6.855000000000000e+01 	 2.267857980175323e+01 	 4.784090050221057e+00 	 2.936743529030107e-01 	 1.944322453880825e-03 	 1.624685502288284e+00 	 -2.262030899088568e+01 	 2.095118682710062e-09 	 1.000000000496025e+00 	 0.000000000000000e+00 	 -4.960247768082127e-10 	 -2.095118523115502e-09 
6.856000000000000e+01 	 2.268151645236066e+01 	 4.784109490928190e+00 	 2.936557693681068e-01 	 1.943819010815701e-03 	 1.625335694346905e+00 	 -2.262320650260235e+01 	 2.095118682710062e-09 	 1.000000000496025e+00 	 0.000000000000000e+00 	 -4.960249988528176e-10 	 -2.095118523115502e-09 
6.857000000000001e+01 	 2.268445291715626e+01 	 4.784128926602031e+00 	 2.936371905336291e-01 	 1.943315795095896e-03 	 1.625985872476305e+00 	 -2.262610382043684e+01 	 2.095118675771168e-09 	 1.000000000496025e+00 	 0.000000000000000e+00 	 -4.960247768082127e-10 	 -2.095118523115502e-09 
6.858000000000000e+01 	 2.268738919618700e+01 	 4.784148357244850e+00 	 2.936186163974984e-01 	 1.942812806575062e-03 	 1.626636036676328e+00 	 -2.262900094443960e+01 	 2.095118682710062e-09 	 1.000000000496025e+00 	 0.000000000000000e+00 	 -4.960249988528176e-10 	 -2.095118523115502e-09 
6.859000000000000e+01 	 2.269032528949986e+01 	 4.784167782858919e+00 	 2.936000469576365e-01 	 1.942310045106971e-03 	 1.627286186946808e+00 	 -2.263189787466109e+01 	 2.095118682710062e-09 	 1.000000000496025e+00 	 0.000000000000000e+00 	 -4.960247768082127e-10 	 -2.095118523115502e-09 
6.860000000000001e+01 	 2.269326119714180e+01 	 4.784187203446509e+00 	 2.935814822119667e-01 	 1.941807510545519e-03 	 1.627936323287596e+00 	 -2.263479461115171e+01 	 2.095118689648956e-09 	 1.000000000496025e+00 	 0.000000000000000e+00 	 -4.960249988528176e-10 	 -2.095118745160107e-09 
6.861000000000000e+01 	 2.269619691915974e+01 	 4.784206619009886e+00 	 2.935629221584137e-01 	 1.941305202744722e-03 	 1.628586445698516e+00 	 -2.263769115396186e+01 	 2.095118675771168e-09 	 1.000000000496025e+00 	 0.000000000000000e+00 	 -4.960247768082127e-10 	 -2.095118523115502e-09 
6.862000000000000e+01 	 2.269913245560060e+01 	 4.784226029551319e+00 	 2.935443667949033e-01 	 1.940803121558721e-03 	 1.629236554179426e+00 	 -2.264058750314192e+01 	 2.095118682710062e-09 	 1.000000000496025e+00 	 0.000000000000000e+00 	 -4.960247768082127e-10 	 -2.095118523115502e-09 
6.863000000000000e+01 	 2.270206780651126e+01 	 4.784245435073072e+00 	 2.935258161193627e-01 	 1.940301266841776e-03 	 1.629886648730159e+00 	 -2.264348365874223e+01 	 2.095118682710062e-09 	 1.000000000496025e+00 	 0.000000000000000e+00 	 -4.960247768082127e-10 	 -2.095118523115502e-09 
6.864000000000000e+01 	 2.270500297193860e+01 	 4.784264835577410e+00 	 2.935072701297204e-01 	 1.939799638448269e-03 	 1.630536729350581e+00 	 -2.264637962081311e+01 	 2.095118682710062e-09 	 1.000000000496025e+00 	 0.000000000000000e+00 	 -4.960247768082127e-10 	 -2.095118523115502e-09 
